Group Name,Continent,Country,City,Web
XMU-R,Asia,China,Xiamen,https://www.meetup.com/RGROUP/
Hong Kong R User Group,Asia,Hong Kong,Hong Kong,https://www.facebook.com/groups/hkrusers/
Bangalore R Users - BRU,Asia,India,Bangalore,https://groups.google.com/group/brumail
R Users Group Chennai,Asia,India,Chennai,https://www.meetup.com/R-Users-Group-Chennai/
Delhi R Users Group Meetup,Asia,India,Delhi,https://www.meetup.com/Delhi-R-Users-Group-Meetup/
R Users Group Hyderabad RUGH,Asia,India,Hyderabad,https://www.meetup.com/R-Users-Group-Hyderabad/
New Delhi UseR Group,Asia,India,New Delhi,https://www.meetup.com/New-Delhi-R-UseR-Group/
Pune R User Group,Asia,India,Pune,https://www.meetup.com/Pune-R-junkies-Meetup/
R-Research,Asia,Macau,Macau,http://groupspaces.com/R-research/
myRUG,Asia,Malaysia,Kuala Lumpur,https://www.meetup.com/MY-RUserGroup/
Lahore R Users Group,Asia,Pakistan,Lahore,https://lahorerug.wordpress.com/
R Users Group,Asia,Philippines,Manila,https://www.meetup.com/R-Users-Group-Philippines/
R User Group,Asia,Singapore,Singapore,https://www.meetup.com/R-User-Group-SG/
R Korea - Korean R Study Group,Asia,South Korea,South Korea,https://www.facebook.com/groups/krstudy/
R Korea - Korean R User Group,Asia,South Korea,South Korea,https://www.facebook.com/groups/KoreaRUsers/
Chinese Academy of R Software CARS,Asia,Taiwan,Taipei,https://sites.google.com/site/zhonghuarruantixuehui/
Taiwan UseR Group,Asia,Taiwan,Taipei,https://www.meetup.com/Taiwan-useR-Group/
Chang Mai R User Group,Asia,Thailand,Chang Mai,https://www.facebook.com/Chiang-Mai-R-362933103793288/
Ha Noi R Users Group Meetup,Asia,Viet Nam,Ha Noi,https://www.meetup.com/Ha-Noi-R-Users-Group-Meetup/
RBelgium,Europe,Belgium,Brussels,https://www.meetup.com/RBelgium/
R Meetup Group,Europe,Czech Republic ,Prague,https://www.meetup.com/Prague-R-Meetup-Group/
Rhus,Europe,Denmark,Aarhus,https://www.meetup.com/Rhus-useR-group
CopenhagenR,Europe,Denmark,Copenhagen,https://www.meetup.com/CopenhagenR-useR-Group/
Finnish Society for Bioinformatics,Europe,Finland,Helsinki,http://www.bioinf.fi/
R User Group Finland,Europe,Finland,Helsinki,https://www.meetup.com/R-User-Group-Finland/
DataScience Brest,Europe,France,Brest,https://www.meetup.com/fr-FR/Data-Science-Brest/
RLyon,Europe,France,Lyon,https://www.meetup.com/R-Lyon/
R4Ciam,Europe,France,Jouy-en-Josas,http://ciam.inra.fr/r4ciam/
R user group Aix-Marseille,Europe,France,Marseille,https://www.meetup.com/R-user-group-Aix-Marseille/
Groupe des utilisateurs du logiciel R,Europe,France,Montpellier,http://forums.cirad.fr/logiciel-R/
Nancy Data Science,Europe,France,Nancy,https://www.meetup.com/nancydatascience/
Meetup R Nantes,Europe,France,Nantes,https://www.meetup.com/fr-FR/Meetup-R-Nantes/
Semin-R,Europe,France,Paris,http://www.mnhn.fr/semin-r/
R Addicts Paris,Europe,France,Paris,https://www.meetup.com/rparis/events/124508332/
StatsRbourg,Europe,France,Strasbourg,https://www.meetup.com/StatsRbourg/
R in Grenoble,Europe,France,Grenoble,https://r-in-grenoble.github.io/
R User Group Dresden,Europe,Germany ,Dresden,http://rusersdresden.wordpress.com/
Hamburg R User Group,Europe,Germany ,Hamburg,https://www.meetup.com/Hamburg-R-User-Group/
Hannover R User Group,Europe,Germany ,Hannover,https://www.meetup.com/de-DE/Hannover-R-User-Group/
Kasseler useR Group,Europe,Germany ,Kassel,https://www.meetup.com/Kassel-useR-Group/
Köln R User Group,Europe,Germany ,Köln,https://www.meetup.com/KoelnRUG/
Leipzig R Statistical Computing,Europe,Germany ,Leipzig,https://www.meetup.com/Leipzig-R-statistical-computing/
R User Group Rhein-Neckar,Europe,Germany ,Mannheim/Ludwigshafen/Heidelberg,https://www.meetup.com/R-User-Group-Rhein-Neckar
Marburg R Local User Group,Europe,Germany ,Marburg,http://www.r-marburg.de/
Applied R Munich,Europe,Germany ,Munich,https://www.meetup.com/Applied-R-Munich
NürnbergR,Europe,Germany ,Nürnberg,https://www.xing.com/net/ruser-nuernberg/
Osnabrück R und Data Science,Europe,Germany ,Osnabrück,https://www.meetup.com/de-DE/Osnabrueck-R-und-Data-Science/
R-Group Stuttgart,Europe,Germany ,Stuttgart,https://r-group-stuttgart.github.io/
Wiesbaden R Users Group,Europe,Germany ,Wiesbaden,https://www.meetup.com/Wiesbaden-R-Users-Group
AthensR,Europe,Greece,Athens,https://www.meetup.com/AthensR/
BURN,Europe,Hungary,Budapest,https://www.meetup.com/Budapest-Users-of-R-Network
Cork R-Uses Group,Europe,Ireland,Cork,https://www.meetup.com/Cork-Ireland-R-Users-Group/
Dublin-R,Europe,Ireland,Dublin,https://www.meetup.com/DublinR/
MilanoR,Europe,Italy,Milan,http://www.milanor.net/
NapoliR User Group,Europe,Italy,Napoli,https://www.meetup.com/Napoli-R-User-Group/
Italy-RUG Rante,Europe,Italy,Padua,https://groups.google.com/group/rante
Torino R net,Europe,Italy,Torino,http://torinor.net/
LuxR,Europe,Luxembourg,Luxembourg,https://www.meetup.com/LuxRgroup/
amst-R-dam,Europe,Netherlands,Amsterdam,https://www.meetup.com/amst-R-dam/
Twente R User Group,Europe,Netherlands,Enschede,http://twenterug.wordpress.com/
R User Group Groningen,Europe,Netherlands,Groningen,http://richelbilderbeek.nl/RuserGroupGroningen.htm
Nijmegen everRybody,Europe,Netherlands,Nijmegen,https://www.meetup.com/Nijmegen-eveRybody/
SER - Warsaw R Users Group,Europe,Poland,Warsaw,https://www.meetup.com/Spotkania-Entuzjastow-R-Warsaw-R-Users-Group-Meetup/
Poznań R Users,Europe,Poland,Poznań,https://www.meetup.com/Poznan-R-User-Group-PAZUR/
Trójmiejska Grupa Entuzjastów R,Europe,Poland,TriCity,https://www.meetup.com/Trojmiejska-Grupa-Entuzjastow-R/
STWUR - Wroclaw R Users Group,Europe,Poland,Wrocław,https://www.meetup.com/Wroclaw-R-Users-Group/
R-omania Team,Europe,Romania,Bucharest,http://www.r-project.ro/our_team.html
R Kazan,Europe,Russia,Kazan,https://www.meetup.com/R-Kazan/
rMoscow,Europe,Russia,Moscow,https://www.meetup.com/rMoscow/
