day,os,version,downloads
2016-01-01,src,3.1.1,4
2016-01-01,win,3.0.0,1
2016-01-01,osx,latest,8
2016-01-01,src,3.1.3,1
2016-01-01,win,2.15.3,1
2016-01-01,src,3.2.2,11
2016-01-01,osx,2.15.1,1
2016-01-01,win,3.2.0,1
2016-01-01,osx,3.2.1,3
2016-01-01,osx,2.10.0,1
2016-01-01,win,3.0.2,1
2016-01-01,src,3.1.2,5
2016-01-01,win,release.exe,1
2016-01-01,win,3.2.1,1
2016-01-01,src,3.2.0,3
2016-01-01,win,3.1.1,50
2016-01-01,src,3.1.0,49
2016-01-01,win,3.2.2,1
2016-01-01,win,3.0.1,1
2016-01-01,NA,3.1.2,1
2016-01-01,osx,2.10.1,1
2016-01-01,src,3.2.3,39
2016-01-01,osx,3.2.3,100
2016-01-01,win,3.2.3,483
2016-01-01,win,3.2.3patched,2
2016-01-02,src,2.15.3,1
2016-01-02,src,3.2.3,43
2016-01-02,osx,3.1.2,1
2016-01-02,NA,3.2.3patched,1
2016-01-02,win,3.0.2,1
2016-01-02,src,3.1.2,2
2016-01-02,src,3.1.1,1
2016-01-02,win,2.15.3,1
2016-01-02,osx,3.2.1,7
2016-01-02,osx,3.0.2,1
2016-01-02,osx,2.12.1,1
2016-01-02,win,3.1.1,48
2016-01-02,src,3.1.0,48
2016-01-02,win,3.2.3,661
2016-01-02,osx,latest,7
2016-01-02,osx,3.2.3,135
2016-01-02,osx,2.14.1,1
2016-01-02,src,3.1.3,1
2016-01-02,src,3.2.2,9
2016-01-03,osx,latest,32
2016-01-03,win,3.2.2,2
2016-01-03,src,2.8.1,1
2016-01-03,src,3.0.2,1
2016-01-03,osx,3.2.2,1
2016-01-03,src,2.0.0,1
2016-01-03,osx,2.15.3,2
2016-01-03,src,2.2.0,1
2016-01-03,win,3.1.2,1
2016-01-03,src,3.1.2,12
2016-01-03,win,release.exe,1
2016-01-03,src,3.1.0,48
2016-01-03,osx,2.14.0,1
2016-01-03,osx,3.2.3,187
2016-01-03,src,2.12.1,1
2016-01-03,osx,3.2.1,9
2016-01-03,win,3.2.3,694
2016-01-03,win,3.1.3,2
2016-01-03,src,3.1.3,1
2016-01-03,win,3.2.3patched,1
2016-01-03,src,3.2.2,10
2016-01-03,win,2.15.1,1
2016-01-03,src,3.2.1,4
2016-01-03,src,3.2.3,57
2016-01-03,win,3.1.1,48
2016-01-04,win,3.1.1,48
2016-01-04,win,3.0.0,2
2016-01-04,osx,3.2.1,15
2016-01-04,src,3.0.2,1
2016-01-04,osx,3.0.3,2
2016-01-04,NA,3.1.2,1
2016-01-04,src,3.1.1,2
2016-01-04,src,3.2.3,87
2016-01-04,src,3.1.2,6
2016-01-04,src,latest,4
2016-01-04,src,2.11.0,1
2016-01-04,win,3.1.3,3
2016-01-04,win,3.2.3patched,3
2016-01-04,osx,3.1.3,1
2016-01-04,src,3.2.0,3
2016-01-04,win,3.2.3,1579
2016-01-04,src,3.0.3,1
2016-01-04,win,3.2.2,60
2016-01-04,osx,3.1.2,1
2016-01-04,src,3.0.0,2
2016-01-04,src,3.2.1,4
2016-01-04,src,3.1.0,50
2016-01-04,win,3.1.2,2
2016-01-04,src,2.2.0,1
2016-01-04,win,3.0.2,1
2016-01-04,osx,3.2.3,346
2016-01-04,osx,3.2.2,1
2016-01-04,osx,2.15.3,1
2016-01-04,osx,latest,52
2016-01-04,src,3.2.2,20
2016-01-04,win,3.2.1,6
2016-01-05,osx,2.14.1,1
2016-01-05,win,3.2.3patched,7
2016-01-05,src,3.2.3,91
2016-01-05,osx,3.2.1,25
2016-01-05,osx,2.15.3,1
2016-01-05,win,3.1.3,1
2016-01-05,win,devel,2
2016-01-05,src,3.1.1,7
2016-01-05,src,3.1.2,5
2016-01-05,win,2.12.2,1
2016-01-05,src,3.2.1,1
2016-01-05,win,2.14.0,1
2016-01-05,osx,latest,49
2016-01-05,src,3.2.2,79
2016-01-05,win,3.1.1,50
2016-01-05,win,2.11.1,2
2016-01-05,win,2.15.3,7
2016-01-05,win,release.exe,1
2016-01-05,NA,3.1.2,1
2016-01-05,win,3.2.3,1949
2016-01-05,src,latest,2
2016-01-05,src,3.0.2,2
2016-01-05,win,3.2.2,10
2016-01-05,osx,3.1.3,1
2016-01-05,osx,3.2.3,435
2016-01-05,src,2.7.1,1
2016-01-05,win,3.2.0,1
2016-01-05,osx,3.1.2,2
2016-01-05,win,3.1.0,3
2016-01-05,win,2.9.1,1
2016-01-05,osx,2.11.1,1
2016-01-05,osx,2.12.0,1
2016-01-05,osx,2.11.0,2
2016-01-05,src,3.1.0,55
2016-01-05,osx,3.1.0,1
2016-01-06,osx,2.15.0,1
2016-01-06,osx,2.14.0,3
2016-01-06,osx,2.15.2,1
2016-01-06,src,2.15.0,1
2016-01-06,src,2.13.1,1
2016-01-06,osx,2.14.1,2
2016-01-06,osx,3.1.3,3
2016-01-06,osx,2.12.2,1
2016-01-06,win,3.2.3,1789
2016-01-06,osx,2.15.1,4
2016-01-06,osx,3.1.1,2
2016-01-06,osx,2.15.3,1
2016-01-06,win,3.1.3,1
2016-01-06,osx,3.2.2,1
2016-01-06,osx,3.2.3,457
2016-01-06,osx,2.12.0,1
2016-01-06,osx,3.0.0,2
2016-01-06,osx,2.11.1,2
2016-01-06,win,3.0.3,1
2016-01-06,osx,3.0.3,1
2016-01-06,osx,2.13.2,2
2016-01-06,osx,3.1.2,2
2016-01-06,osx,2.10.0,1
2016-01-06,src,3.1.2,4
2016-01-06,osx,2.11.0,4
2016-01-06,osx,2.10.1,1
2016-01-06,win,3.2.3patched,9
2016-01-06,NA,3.1.2,1
2016-01-06,src,2.11.0,2
2016-01-06,osx,3.0.1,1
2016-01-06,src,3.2.1,2
2016-01-06,osx,2.12.1,1
2016-01-06,src,3.0.3,1
2016-01-06,osx,2.13.1,1
2016-01-06,osx,3.2.0,1
2016-01-06,osx,2.13.0,1
2016-01-06,osx,2.14.2,2
2016-01-06,src,3.2.3,77
2016-01-06,src,3.1.1,6
2016-01-06,osx,3.2.1,24
2016-01-06,osx,3.0.2,1
2016-01-06,win,3.2.0,1
2016-01-06,src,2.15.3,1
2016-01-06,win,3.2.2,3
2016-01-06,win,3.1.2,2
2016-01-06,osx,latest,55
2016-01-06,win,3.1.1,51
2016-01-06,src,3.2.2,22
2016-01-06,src,3.1.0,49
2016-01-06,src,3.2.0,10
2016-01-06,osx,3.1.0,2
2016-01-07,win,2.10.1,1
2016-01-07,osx,3.2.0,2
2016-01-07,osx,3.1.2,1
2016-01-07,src,3.2.3,86
2016-01-07,win,3.2.3,1854
2016-01-07,NA,3.1.2,1
2016-01-07,win,3.1.0,1
2016-01-07,osx,3.2.1,28
2016-01-07,src,2.7.0,1
2016-01-07,osx,2.15.0,1
2016-01-07,win,3.2.1,2
